Month,Place,Hour,Day,Crowd_level
January,Library,9,1,Low
January,Cafeteria,9,1,Low
January,Lab,9,1,Medium
January,Fee Counter,9,1,High
January,Bank,9,1,High
January,Admission Cell,9,1,Low
January,Library,10,1,Low
January,Cafeteria,10,1,Medium
January,Lab,10,1,Medium
January,Fee Counter,10,1,High
January,Bank,10,1,High
January,Admission Cell,10,1,Low
January,Library,11,1,Medium
January,Cafeteria,11,1,Medium
January,Lab,11,1,Medium
January,Fee Counter,11,1,High
January,Bank,11,1,High
January,Admission Cell,11,1,Low
January,Library,12,1,Medium
January,Cafeteria,12,1,High
January,Lab,12,1,Medium
January,Fee Counter,12,1,High
January,Bank,12,1,High
January,Admission Cell,12,1,Low
January,Library,13,1,Low
January,Cafeteria,13,1,High
January,Lab,13,1,Medium
January,Fee Counter,13,1,High
January,Bank,13,1,High
January,Admission Cell,13,1,Low
January,Library,14,1,Low
January,Cafeteria,14,1,High
January,Lab,14,1,Low
January,Fee Counter,14,1,High
January,Bank,14,1,High
January,Admission Cell,14,1,Low
January,Library,15,1,Low
January,Cafeteria,15,1,Medium
January,Lab,15,1,Low
January,Fee Counter,15,1,High
January,Bank,15,1,High
January,Admission Cell,15,1,Low
January,Library,16,1,Low
January,Cafeteria,16,1,Low
January,Lab,16,1,Low
January,Fee Counter,16,1,High
January,Bank,16,1,High
January,Admission Cell,16,1,Low
January,Library,17,1,Low
January,Cafeteria,17,1,Low
January,Lab,17,1,Low
January,Fee Counter,17,1,High
January,Bank,17,1,High
January,Admission Cell,17,1,Low
January,Library,9,2,Low
January,Cafeteria,9,2,Low
January,Lab,9,2,Medium
January,Fee Counter,9,2,High
January,Bank,9,2,High
January,Admission Cell,9,2,Low
January,Library,10,2,Low
January,Cafeteria,10,2,Medium
January,Lab,10,2,Medium
January,Fee Counter,10,2,High
January,Bank,10,2,High
January,Admission Cell,10,2,Low
January,Library,11,2,Medium
January,Cafeteria,11,2,Medium
January,Lab,11,2,Medium
January,Fee Counter,11,2,High
January,Bank,11,2,High
